,제목,내용
206,전역일 두 달 남겨두고 탈영하게 생긴 아들.jpg,"                                                                                                                                                                                                                                                                     소식 듣고 황급히 연락 온 아들
  "
207,사기당해서 방송 쉬는 초등학생 유튜버 ㅜㅜ,"  아직도 이런 피해자가ㅠㅠ
    "
208,라이엇 딱걸렸네 ㅅㅂ ㅋㅋㅋ,"  역시 참깨 께임이다 
  오른이 시키드나!
  "
209,성관계를 가장 많이 하는 동물,    
210,"놀면 뭐하니, 할리우드 배우 섭외 성공.jpg",        이걸 섭외하네 ㅎㄷㄷ 
211,얀센 접종 맞는 주호민 근황.....png,"                만화 그리는 형들에게 애기소리 들음
    "
212,"AMD, 삼성걸 샘의 대항마 'SUA' 공개",      사장님 계신데 왜 굳이 이런캐릭터를... 
213,날씨가 좋아서 항문을 열었는데.jpg,    
214,약후) 진짜 광기의 중국혐오,"                우리가 중혐하는건 장난수준;;;
  "
215,일론 머스크 최근 근황.....news,원본출처 | https://news.v.daum.net/v/20210603083406544 
216,갈증해소 등급,    
217,존나 다니기 싫었던 회사 퇴근길.jpg,      
218,영화 조커 근황.jpg,    
219,??? : 마블과 인연 끝났다. 요청 와도 안해.," 








         

입금 감사합니다.
  "
220,우리집 앞 현재 근황,"      철거하다가 건물 붕괴된 학동인데
           
        퇴근 하다 보니까
  지금은 경찰들이랑 소방관이 막고 잔해 파내는 중임
  밤늦게 까지 고생 많으시네
  "
221,의외로 한국이 세계 시장 4위인 것.JPG,                          
222,배민 사장님 급발진 결과.jpg,            
223,남초 회사앞에서 팔면 반칙인 메뉴,       남자손님 흡수기 
224,남초 회사앞에서 팔면 반칙인 메뉴,       남자손님 흡수기 
225,오래된 브레드 커터 재생.gif,    
226,하루 술값으로 3억 6천만원 낸 사람.JPG,알레스가 플렉스했네 
227,이슬람 결혼소개 사이트 진짜 근황.JPG,원본출처 | https://www.muslima.com/ 
228,엄마때문에 회사 짤림.jpg,  
229,게임하다 겪은 잊을 수 없는 경험.jpg,            
230,동생을 팔아버린 비정한 누나.jpg,"      이게 진짜 누나지
    "
231,개발진이 손수 인정한 외부요소 악용,"    최근 데드바이데이라이트에서 생존마 아바타에 달수 있는 lgbt 기념 부적을 내놓음.
  당연히 저걸 다는 순간 시진핑핑이 사진급으로 게임상에서 최고의 어그로를 받을 수 있음.
   개발진의 반응: lgbt 상대로 터널링하면 정지먹임.
(터널링: 한번 죽인 생존마를 다른 사람이 구하면 곧바로 따라가서 다시 죽이는 것.)
  개발진이 공언한 만큼 안 이용하면 호구될 예정. "
232,인방)　과로사의 파키스탄 이름　jpg,"                    이슬람의 전주 이씨
  "
233,현실적인 게임광고.jpg,    
234,직원 실수로 계좌 개설한적도 없는데 2900만원 대출,원본출처 | https://news.v.daum.net/v/20210621203615560 
235,꼬카인의 위험성.jpg,원본출처 | http://www.slrclub.com/bbs/vx2.php?id=hot_article&page=23642&no=906588 
236,[후방주의] 섹1스를 하지 않아도 나갈 수 있는 방.JPG,                                                                                      근데 나가기 싫음 
237,게임하다 여자티를 낸 결과.jpg,   우리 길드도 하와와 군필여고생쟝 한명쯤 있어야하긴해 
238,사회생활 잘하는 10살짜리.jpg,      애기가 사회생활 실력이 대단한데ㄷㄷ 
239,홍진경이 결혼했을당시 부모님 반응 ㅋㅋㅋ jpg,    
240,한국영화 역사상 가장 충격적인 오프닝.jpg,"        거사를 준비하는 안중근
                      운명의 그 날 하얼빈 역
                         야수의 심정으로 이토 히로부미를 노려보던 안중근은
                           적절한 때를 노려 이토에게 권총을 겨눈다

                    그런데
                                        어찌된 일인지 암살을 대비하던 일본군에 의해 거사가 실패하고
                                       안중근은 재판도 없이 현장에서 사살되고 만다
                            1910년, 암살 미수 사건 후 조선 초대총독에 오른 이토 히로부미
                    1919년 3월 1일, 파고다공원 불법집회 무산
                      1921년, 이토의 뒤를 이어 2대 총독 이노우에 위임
                    1932년, 상해 훙커우 공원에서 윤봉길 현장에서 사살
                    1936년, 미 - 일 연합군이 2차대전에 참전
                      1943년, 일본군의 만주국 점령
     
            1945년, 일본이 아닌 베를린에 최초로 원폭이 투하되면서 2차 세계대전이 종료
                    1960년, 일본이 UN 상임이사국에 가입
         

      1965년, 사쿠라 1호 인공위성 발사
     
            1988년, 대한민국 서울이 아닌 일본 나고야 올림픽이 개최
       
        2002년, 일본 단독의 월드컵 개최
                    이동국 선수가 일본 월드컵에 참가해 뛰고 있다
                ... 가슴에 일장기를 달고서
                 
      2009년 경성
             
 
    어찌된 일인지 경성(서울)인데 일본 풍경과 다름없는 모습
                  표지판도 일본어이고
  조선총독부 건물까지 건재하게 남아있는 듯한 상황
  그리고....
                        경성 광장 한복판에 세워진 도요토미 히데요시의 동상
                      조선 총독부를 등지고 서있는 모습으로 영화 오프닝은 끝난다
    그렇다 이 세계관에서 대한민국이란 국가는 없어졌고
  독립하지 못한 채 일본에 종속되어 역사가 뒤바뀐 것이다
                             
장동건, 나카무라 토오루 주연의 한일합작 영화
  2002년작 2009 로스트메모리즈
  참신한 소재에 비해 영화적 완성도가 아쉬운 영화지만
  5분 가량의 충격적인 도입부는 아직까지도 회자되고 있다 "
241,20대 남성이 배달 많이 시키는 이유,"  현대카드 사장도 이렇게 말했다가 대차게 까인적이 있었지
  "
242,컴퓨터 안에 죽은 남자친구의 사진을 저장하고 사는 여자,  기분나빠 
243,중국 횡령공무원의 희귀 아이템 근황,"      어둠의 듀얼에 빠져 악에 물들엇구만....
    "
244,일본의 개당 1만원짜리 계란.jpg,"                       
     
              (왼쪽부터 1만원짜리 계란,초란(닭이 처음 생산한 달걀),일반슈퍼 달걀  만원짜리는 노른자가 굉장히 진한 오렌지색을 뜀 노른자색상은 
  사료와 연관이 있다고함)
        (이 달걀로 만든 달걀푸딩)
    ---
  1000평의 광대한 토지에서
    1500마리정도의 닭이 매일 달걀을 생산하는데 
  방목 해서 키우기 때문에 스트레스가 없으며
  옥수수를 베이스로 25가지의 재료를 섞어넣은  사료 및 고인물이 아닌 흐르는 물만 먹여 
  계란자체에 냄새가 나지 않으며 단맛과 함께 굉장히 깊고 농후한 맛이 난다고함 
  실제 후기를 찾아보면  맛있는 계란이긴하나
  1개 만원이나 줄 가치가 있는가에 대해서는 개인이 선택할 문제라고함 
  ---
  먹어본 유게이 말로는 맛있다네  "
245,미국에 나타난 중국산 헬레이저.jpg,"    핑헤드
    "
246,한국에선 상상도 못하는 자판기가 있는 일본.jpg,  소창 대창 자판기 
247,거주 이전의 자유가 없다는 베트남의 문화.jpg,"베트남은 거주 이전의 자유가 없는 나라 중에 하나인데, 특정 대도시나 특정 주를 결코 벗어나서 이사하기가 불가능에 가까움.
그래서 그 도시에서 태어난 베트남 사람들은 죽을 때까지 그 도시에서 살아가는 경우가 거의 대다수라고 할 수 있고.




 만약에 다른 도시나 다른 주로 이사하고 싶을 경우에는 반드시 자신이 살고있는 도시의 공안에게 허가를 받아야 함.
그런데 이 공안의 허가를 받는다는 게 매우 어려움. 그러면 어떻게 해야지 공안에게서 이사할 수 있도록 허가를 받느냐면







고등학생 자녀를 둔 베트남 부모들이 자녀가 매우 우수한 성적으로 고등학교를 졸업해서 하노이 대학교 입학 허가가 떨어졌을 때임.
이렇게 되면 그 학생의 온 가족이 하노이로 이사할 수 있는 합법적인 길이 열리게 되고, 공안도 하노이로의 거주지 이전을 허락해주거든.

베트남 정부에서는 하노이 대학교에 입학하는 학생들을 자국의 고급 인력으로 보고있기 때문에 이런 혜택을 준다고 봐야지.
북한도 거주 이전의 자유가 없다는 것은 베트남과 공통점이지만, 노동당원일 경우에는 평양 거주를 허락한다는 것이 차이점이고.

그래서 하노이 대학교를 다니고 있는 사람들과 그냥 지방 도시에서 고등학교를 졸업한 사람들의 차이점이 있는데 그게 무엇이냐면

하노이 대학교를 졸업한 사람들은 결혼 상대를 고르고 골라서 20대 후반에 결혼을 하는 경우가 매우 많은 편이고, 지방에서
고등학교만 졸업한 사람들은 20대 초반에 일찍 결혼을 하는 경우가 대부분임. 베트남에서의 결혼도 이런 부분에서 차이점이 있음. "
248,밥에 미친 민족,      밥 먹을 시간도 안 주는건 레알 선 넘었지 
249,제목만으로 욕먹고 있는 유튜버,"    전문 자격증도 없는 일반인들이 정말로 줄줄히들 따라하다 큰일들 나면 어쩌냐고 욕먹는중
    "
250,날강두가 쏘아올린 코카콜라 주식 -4조.jpg,"      유로 공식 기자회견장에서 콜라 치우고 저런말 함.
  참고로 유로 공식스폰서는 코카콜라.
    "
251,일본 돈까스가 더이상 얇게 펴지 않게 된 이유.jpg,"이런 연육기의 개발덕에
할 필요가 없어졌기 때문
  연육기는 1950년대 미국에서 텐더라이저라는 이름으로 개발되었는데
실제로 1950년대 이후로 일본에서는 얇고 넓적한 돈까스가 자취를 감추게 된다
            "
252,이력서 경력란에 한 줄 밖에 못 쓴 자의 최후.jpg,"    앗.. 아아...
  "
253,어떤 캐릭터의 20년 전후,"    현재 - 변태같고 엉뚱한 악동
        과거 - 혼돈 악 성향의 순수한 광기
      "
254,물컹한 식감을 싫어하지 않는다면 먹어봐도 좋을 대전의 명물 음식.jpg,"대전 유성구의 구즉동은 도토리로 만든 도토리 묵이 유명한데, 이걸로 만든 도토리 묵밥이 꽤나 맛있기도 함.
도토리 묵의 물컹한 식감을 싫어하지 않는다면 충분히 먹어봐도 결코 나쁘지 않을 음식이기도 하고.

게다가 시원한 식감을 자랑하는 음식이기 때문에 여름에 별미로 즐기기에는 그만인 음식이기도 함. "
255,하이마트 컴퓨터 산다는 친구.jpg,원본출처 | http://m.humoruniv.com/board/read.html?table=pds&pg=0&number=1067559 
256,커뮤니티 4대 무식 논란.jpg,                       근의 공식 그거잖아 플스까면 비추먹는거 
257,과잉진료로 치과에서 이빨 다 뽑힌 여자.jpg,      
258,일본 에이펙스 사건 존나 웃기네 ㅋㅋㅋㅋ,"    일본인 유저가 총맞고 지렁이됨
아군이 도와주러 옴
근데 주변에 적 있는걸 도와주러 오는 아군이 모름
지렁이 유저가 나 신경쓰지 말고 도망치라고 아군한테 채팅 침
도망쳐가 일어로 니게로
  nigero
    인종차별로 정지먹었는데 항의해도 안 풀어주는 중
  ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ "
259,먹는 게 느린 경찰,원본출처 | https://blog.naver.com/frostylight/221975787533 
260,영업직이 영업을 졸라 잘한 결과.jpg,...... 
261,153억원짜리 유희왕 카드,원본출처 | https://m.yna.co.kr/view/AKR20210623148800097?section=international/all 
262,신개념 게임 컨트롤러,"      오....
대체 왜... "
263,혜자 배달 음식.gif,                  
264,투톤 컬러 레이 대참사.jpg,    
265,30분째 찬물이 나와서 빡친 사람의 최후,            
266,공포의 요즘 테슬라 불량 수준 ㄷㄷㄷㄷ,"  모델3 신형 한쪽 불 안들어옴
인수거부 못함 무조건 수리
수리 한달 걸림
      모댈Y 옆구리 터짐 문제
당영히 인수거부 불가
    볼트 조립 심각한 불량 터짐
브레이크 안 밟힐 수 있는 매우 심각한 불량임
    문 열어야 하는 데 방전이라서 못 염..
그래서 비상탈출 장치로 열고 나가려고 했는데 
비상탈출 장치가 불량이라서 못 염..
결국 의식 잃고 죽을뻔
  ... 좀 무서운데 진짜
              "
267,발차기 하는 강한 눈나,    
268,월 1000만원 줘도 백수는 안 하겠다는 사람,    
269,여자 히키코모리 집 청소.jpg,          오 
270,여자인데 남자로 오해받은 작가의 이유.png,    
271,번호따이고 미팅나간 여대생,    
272,한국 장인이 만드는 5억짜리 시계,"옻칠, 자개 명인이 디자인, 제작한 세이코 CREDOR 
보석하나 없이 가격 5250만엔
  약 5.8억
    1260만엔
약 1억4천
    각 4천만원
  위 모든 시계들은 2008년 발매 후 완판 됬으며
중고시장이 아니고 옥션에 나온적은 한번 있다고함

  자개장 전용복 장인
  일본 국보급 호텔인 메구로가조엔 호텔은 사방팔방 옻칠에 자개가 많은데, 
80년대 후반 복원공사를 전 장인이 지휘하면서 일본에서 명장대우를 받음
참고로 당시 공사규모는 약 1조(...)
    대충 엘리베이터만 이런 수준
    꾸준하게 작품활동을 하지만
한국에선 협업 제의도 안들어오고
일본과 유럽 럭셔리 브랜드와 협업하심
  세이코 크레도르 라인은 최고의 럭셔리라인이라
가격이 미쳤는데
그마저도 발매하는 순간 당일 완판됨 "
