,제목,내용
139,"""삼계탕 한 그릇에 1만5000원?""…식당 대신 마트로 몰린다","서울시내 삼계탕 평균가격 1만4462원
음식점과 협업한 HMR도 활발하게 출시
유통업계, 대대적 삼계탕 할인 행사 "
140,"""더 간다"" vs ""팔아라""…두 달 새 주가 35% 넘게 뛴 종목","목표가 높인 한국 증권사들

하나금투 ""2분기 깜짝실적 기대""
교보證 ""하반기, 정유주의 시간""

매도 의견 내는 골드만삭스
목표주가 현재보다 40% 낮아
""내년 유가정점…이윤 줄수도"" "
141,전동 킥보드 타다 넘어져 사망…보험금 ‘한 푼’도 못 받은 이유,"전동킥보드 빌려 타다가 넘어져 사망, 대여업체 고소해 법정에 가다
대여업체의 '안전교육의무' vs 운전자의 '안전모 미착용'
1심과 달리 항소심은 피해자 100% 과실로 인정 "
142,"조응천 ""尹장모 구속 납득안돼…'사법농단 수사' 감정 남았나""","'윤우진 의혹'에는 ""제대로 파헤치면 문제 될 가능성"" "
143,"""화이자 백신 예방효능, 델타변이 확산후 하락…94%→64%""(종합)","이스라엘 보건부, 5월2일∼6월5일, 6월6일∼7월3일 자료 비교
중증 예방효능도 98.2%→93%로…이스라엘 델타 변이 비중 90% "
144,오후 6시까지 전국서 1천6명 확진…6개월만에 다시 하루 1천명대,"서울 521명-경기 313명-인천 46명 등 수도권 880명, 비수도권 126명 "
145,"美 붕괴 아파트 잔해서 구조된 16살 소녀, 첫 한마디가","""며칠 뒤 대회 나간다""…몸보다 대회 걱정
코치한텐 훈련 빠지게 됐다며 사과
추락 순간 공포와 비극적 상황에 매일 악몽 "
146,80세 신체 가진 10세 소녀…꿈이었던 전시 앞두고 사망[월드픽],"연약했지만 누구보다 빛났던 소녀
조로증으로 10년 동안 고군 분투 "
147,"[단독] 30대 남성, 얀센 백신 접종 후 사망…부작용 여부 조사 중","서울 강서구서 지난달 10일 접종
같은 달 21일 심정지·뇌출혈로 사망
유족 “기저질환 없어…부작용 의심” "
148,"MBC 스트레이트, '필리핀 카지노 수백억 수입, 라임펀드 몸통 도피자금 쓰이나' 의혹 제기",총격전 벌어진 필리핀 리조트에 라임돈 수백억 들어가 
149,'바닷속에서 솟아나는 불길'…석유 개발이 낳은 '초현실',MBC 뉴스는 24시간 여러분의 제보를 기다립니다. 
150,"일본 관광객은 격리 면제, 한국은 유지?…이상한 伊 방역 규정","이탈리아 보건당국, 일본·미국·캐나다 등에 '그린 패스' 적용
우리 외교부, 伊정부에 ""방역 우수 한국에도 적용돼야"" 입장 전달 "
151,새 삶 얻을까…터키 24세 여성 '두팔 이식수술' 도전,"불운에 팔다리 잃었으나 긍정적 생활
세계적 권위자 찾아 '다시 손 쓸 날' 고대 "
152,"""화이자 백신 예방효능, 델타변이 확산후 하락…94%→64%""","이스라엘 보건부, 5월2일∼6월5일, 6월6일∼7월3일 자료 비교
중증 예방효능도 98.2%→93%로…이스라엘 델타 변이 비중 90% "
153,한화그룹 김승연 회장의 처남이 신라젠 인수한 까닭은?,"엠투엔, 신라젠과 600억원 유상증자 본 계약 맺고 지분 20.75% 확보해 최대주주로 올라
서홍민 엠투엔 회장 ""100억 펀드 조성…K바이오 생태계 키운다""
서울대병원 뇌질환 기초연구에 투자…바이오 생태계서 신라젠도 동반 성장 "
154,"지자체 공무원들, 허위 초과근무·출장 ‘요지경’","9개월간 146회 거짓 출장 신청한 과장
퇴근 후 딴 직원이 초과근무 대리 입력
행안부, 재·보선 4곳 특별감찰서 무더기 적발·중징계 요청 "
155,"[단독] 현대차, 美 배터리업체에 1억弗 투자",GM이 주주…차세대 기술 협력 
156,물려준 재산 날리면 어쩌지…'상속신탁제' 활용하세요,"'한경무크'로 본 자산가 상속 팁

금융사에 자산 맡긴 뒤
발생하는 수익과 원금
언제 누구에게 줄지 지정

재산 배분 미리 정하는
유언대용신탁으로
가족간 분쟁도 예방

연 소득 억 단위라면
절세 수단 활용할수도 "
157,벤츠 E클래스 제치고 1위 등극…수입차 순위 대폭 뒤집혔다,"6월 최다 판매 모델은 폭스바겐 티록

수입차 1위 벤츠·BMW '접전'
6월 판매 2만6191대…전년비 4.2% 감소 "
158,주방 개방했더니…동네 중국집 매출 두 배로,"장사의 신

한경-비씨카드 빅데이터 기획

위례 달인각
청결·위생·식자재 기본에 철저
원가 많이 들어도 좋은재료 고집
성남지역 중국집 '압도적 1위'

매장 세 배 늘리고 오픈키친 도입
매일 아침 가게 직접 청소
'미각 상할라' 콜라·커피 금지 "
159,개인별 원리금 상환액 연봉의 40% 못 넘는다…대출 전략 다시 짜라,"Cover Story
이달부터 DSR 규제강화

무주택자 신용대출 줄여야

연봉 8천만원·신용대출 9천만원
무주택자 9억원 집 구입때
주담대 4억 빌릴 수 있지만
신용대출 당장 1100만원
내년 7월엔 3200만원 줄여야 "
160,"""나는 유인촌의 아들, 배우로서 편하지도 부끄럽지도 않다""","4년만에 연극 복귀하는 배우 남윤호
영국 유학 후 '코리올라누스' 주연
""다른 삶에서 시작하기, 그게 바로 배우"" "
161,"""168만원 이자가 217만원 됐다""…은행들 대출 죄기 시작","신용대출 가산금리 일제히 올려
신한 2.39→2.56%, KB 2.6→2.87%
저금리 상품 없애거나 한도 축소도
기준금리까지 인상 땐 대출자 비상 "
162,수감자와 성관계 하려고···바지에 구멍낸 女교도관 결국,"11명이 보는데서 男수감자와 성관계 맺기도
직장 동료 ""26년 근무 중 가장 충격적인 사건""
교도관 변호인 ""최근 결혼생활 끝내 취약해져"" "
163,"4,086가구 대단지도 매물 '0'···양도세 때문에 팔고 싶어도 못 판다","양도세 강화 후폭풍 '거래 절벽'
""가격 상승 부를 것"" 경고 현실화 "
164,"스포츠카 타던 인스타 '주식고수', 알고보니 제2의 조희팔?","100억대 사기 추정...경찰 내사 착수
투자금 5~10% 수익 약속 후 잠적 "
165,"[단독] 뒷짐 지고 '뚜벅뚜벅'... 정정한 전두환, 골목 나들이","사자 명예훼손 혐의 재판 당일
'피고' 전두환은 자택 앞 골목 산책
단정한 차림에 부축 없이 혼자서 꼿꼿이 "
166,"[오은영의 화해] ""처자식 짐짝 같다""던 남편, 황혼이혼만이 답일까요?","이혼을 결단하는 건 정희씨 본인이라면, 정희씨가 이 결혼 생활을 유지했을 때 지금보다 덜 괴로울 수 있도록 돕는 게 제 역할인 것 같아요. "
167,"1m 높이, 공사현장에서 추락한 할아버지... 아무도 몰랐다","<1> 중대재해 외면하는 '중대재해법'
재해조사의견서 410건 전수조사
워드클라우드로 키워드 살펴보니 
미설치 318회, 안전모 336회 등장
미설치·미작성·미배치·미실시 '4未' 
개별적·복합적으로 작용한 인재로 "
168,하룻밤에만 80~90통…‘절규의 벨소리’ 끊이지 않았다,"코로나블루 최전선 (상) 서울 자살예방센터 24시
상담 대상자 폭언, 인력 부족에도
‘흔들리는 마음들’ 붙잡는 ‘마음이음 상담팀’ "
169,거리두기 없었던 노동자대회 논란…대통령 “단호한 조치” 민주노총은 반발,"문 대통령 “방역 비상 상황” 강조
“대규모 불법 집회 단호한 법적 조치”
민주노총 “중대재해 시행령 후퇴 실망
야외집회 불허근거도 수용 못해” "
170,‘손정민 추모방’과 ‘친구A 보호방’ 한 달…이들의 엇갈린 정의,"6월 한 달 ‘한강 사건’ 오픈채팅방 분석
‘분노’와 ‘정의감’으로 모였지만…
서로에 대한 혐오와 조롱도 "
171,내일까지 남부 200㎜ 장맛비…중부는 오늘 하루 ‘숨고르기’,"5일 밤~6일 오전 호남·경남 남해안 집중호우
전북·경남·경북 남부에도 시간당 30㎜ 장대비
예상강수량 300㎜ ↑ 가능성…수도권은 소강 "
172,‘기찻길 옆 공부방’ 만든 한국건축의 ‘양심’ 하늘로 떠났다,"‘채나눔’의 건축가 이일훈 대표 별세
‘작고 불편한, 나눠 늘리는 건축’ 역설
마지막 원고 “소신이 있으면 외롭다” "
173,"재난지원금, 성인은 본인이 직접 받는다","가구 기준서 인당 기준으로 바뀌어
미성년자는 기존대로 세대주가 신청 "
174,[논썰] 윤석열 ‘대선 지뢰’ 3탄…본인 의혹들 ‘치명타’ 되나,"장모 최씨 1심 ‘징역 3년’ 선고·법정구속돼
부인 김건희씨 “제가 줄리? 기가 막힌 얘기”
정대택씨 “김건희 인터뷰 100% 거짓말” 반박

악재 속 윤 전 총장, 본인 개입 의혹도 첩첩
반전 거듭하는 ‘처가 사건 압력’ 징계 의혹
‘세무서장 뇌물 사건 비호’ 3종 의혹 큰 불씨 "
175,"장대비로 시작한 ‘지각’ 장맛비, 열흘 내내 계속된다","오전 6시 현재 경남 거제 149.8㎜
5일에도 전국에 5∼100㎜ 비 예보
13일까지 정체전선 오르락내리락 "
176,"‘여의도 저승사자’ 검사들, 윤석열 아내 주가조작 의혹 겨눈다","증권범죄합수단 출신 등 부임한 반부패2부
윤 아내 주작조작·협찬금 수수 의혹 수사
“‘제 식구 감싸기식 수사’ 오명 벗을 기회” "
177,"""나는 유인촌의 아들, 배우로서 편하지도 부끄럽지도 않다""","4년만에 연극 복귀하는 배우 남윤호
영국 유학 후 '코리올라누스' 주연
""다른 삶에서 시작하기, 그게 바로 배우"" "
178,"미성년 딸에게 남긴 15억, 재혼한 전처가 손 못대게 하려면","[금융SOS]
유언공증으로 자녀 후견인 지정
재산 안전장치는 유언대용신탁
양육비 안주는 부모, 제제 강화 "
179,이번엔 양재동서 ‘이천쌀집’ 우르르…4대그룹 MZ 요동친다,"[뉴스원샷] 이상재 산업2팀장의 픽
키워드: ‘남방한계선 아래’ 하이닉스 웃다
경력 3년 미만 사원급 수백 명 공채에
삼성전자·LG전자·현대차서 1만 명 몰려
재계 “MZ세대 이직 러시 부르나” 주목 "
180,"""전기차 사는게 백번 이득"" 40만km 달린 60대가 내민 증거",전기車로 4년간 40만㎞ 달린 송명준씨 
181,與 대선 예비후보 첫 TV토론…이재명 `말바꾸기` 십자포화(종합),"초반부터 `기본소득` `영남 역차별` 등 겨냥 집중 견제
이재명 ""아직 공약한 게 없어, 발언 전체 맥락 살펴야"" 반박
추미애 ""尹 대선출마, 해외망측한 일"" 울분 "
182,“월 9900원이면 매월 할리스 커피 4잔과 Seezn 콘텐츠”,7월 신규 가입고객 대상 9천원 상당 특별 추가 혜텍 
183,"""땡큐, 차이나~""...환호하는 비트코인 생태계",중국 비트코인 채굴 단속…채굴 난이도↓·수익성↑ 
184,"""백신 접종자도 실내외 마스크 착용 의무화""","정부, 수도권 방역조치 강화 방안 확정
마스크 실내외 착용 의무...10시이후 야외 음주 금지 "
185,"7말8초는 '청약철'...""시중자금 100조 움직인다""","카뱅·크래프톤·카페이 줄줄이 IPO...몸값 10조 이상 역대급
시중자금 100조 이상 움직일 전망...전산부담은 우려 "
186,"[넘버스] 카카오뱅크, 희망 공모가 산정 근거 살펴보니",'공모 희망가 3만3000원·희망 시가총액 18조원' 
187,[넘버스]카카오모빌리티에 투자한 LG의 '빅픽처'는①,"카카오모빌리티와 파트너십, LG에 1000억 이상의 가치를 창출할까 "
188,"""남의 남편이랑 남해는 왜 갔냐""…내연녀 회사 찾아가 '불륜 폭로'","'불륜 폭로' 60대 여성 벌금형… ""명예훼손 등 혐의 유죄"" "
189,중국 스텔스 전투기의 진짜 성능 [특파원 다이어리],"中 J-20 구조상 스텔스 성능 떨어질 듯…실제 성능은 안개속
中 FC-31 개발 완료 초읽기…항모 함재기 도입 가능성 커 "
190,"[영상] 뒤에서 갑자기 덮친 '묻지마 성추행'…""용의자 공개""","경찰, 용의자 얼굴 공개하며 제보 당부
피해 여성 ""반바지에 손 넣고 강제로 엉덩이 만져""
용의자, 길모퉁이 돌 때까지 계속 미행 "
191,"[영상] '의전서열 7위' 이준석, 두 번 연속 90도 폴더인사 화제","누리꾼들 ""탈권위주의"" 호평
'이준석 직무수행 잘한다' 응답 61% "
192,"손정민 父 ""그알 시청률 11%…완벽히 이용만 당했다"" 분노","손씨 ""그알에 항의할 사항 19개""
'그알' 재연 거리수치, 경찰 발표 자료와 달라
""거리 아닌 재연 화면만 기억에 남을 것"" 주장 "
193,"'1인 25만원' 국민지원금, 성인은 본인 카드로 받는다","세대주에 일괄지급→가구원 각자지급
이르면 8월 하순부터 지원금 지급시작 "
194,"""내 남편이랑 왜 여행갔어?"" 불륜녀 회사 찾아간 60대 벌금형","불륜 의심 상대 폭행해 전치 1주 상해
法 ""감정 격해진 범행…양형조건 참작"" "
195,"[단독] ""페이퍼 코인으로 상장…모든 게 가짜"" 내부 폭로",수십억 투자받은 코인 관계자 JTBC 인터뷰 
196,"[중국은, 왜] ""침략 맞선 정의로운 전쟁"" 6·25로 애국주의 불지피는 中","美에 맞선 6·25 거론해 민족감정 극대화
참전 노병엔 100주년 최고 훈장도 수여

시진핑, 100주년 연설서 ""조국 통일""
'대만 통일' 통해 장기집권 명분 쌓기
中 잡지엔 대만 공격 시나리오도 등장 "
197,"1인 25만원 국민지원금, 성인은 본인 카드로 받는다",혼자 집 나와 살더라도 지원금 쓰는데 불편없도록 지원 
198,"日 아사히 ""對韓 수출규제 '어리석은 계책의 극치'""","반도체 소재 수출규제로 日기업 손실…""달라질 기미는 없어"" "
199,국민지원금 커트라인 4인가족 월 878만원…맞벌이 배려 검토(종합2보),"중위소득 180% 안팎이 기준선…6월 건보료 반영해 7월말 기준 확정
시세 21억원 집·금융소득 2천만원 이상 직장가입자 배제될 수도 "
